Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Mikael Backlund,31,CGY,C,10,2,2,4,-4,8,0.3,2,0,0,0,1,1,0,20,10.0,166,7,13,55,56,49.5,backlmi01,2020-2021,2021
Nicklas Backstrom,33,WSH,C,11,5,9,14,0,2,1.5,3,2,0,0,5,4,0,27,18.5,218,8,3,69,88,43.9,backsni02,2020-2021,2021
Josh Bailey,31,NYI,C,9,1,2,3,-1,2,0.2,1,0,0,0,1,1,0,19,5.3,162,2,0,5,2,71.4,bailejo01,2020-2021,2021
Alexander Barabanov,26,TOR,F,6,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,36,4,3,0,0,,barabal01,2020-2021,2021
Ivan Barbashev,25,STL,C,11,0,2,2,0,4,-0.1,0,0,0,0,2,0,0,8,0.0,131,3,16,19,24,44.2,barbaiv01,2020-2021,2021
Aleksander Barkov,25,FLA,C,8,4,7,11,3,2,1.3,2,2,0,0,4,3,0,33,12.1,175,2,5,86,59,59.3,barkoal01,2020-2021,2021
Tyson Barrie,29,EDM,D,12,1,8,9,-5,0,0.7,0,1,0,0,5,3,0,29,3.4,254,17,6,0,0,,barrity01,2020-2021,2021
Mathew Barzal,23,NYI,C,9,4,6,10,4,24,1.4,4,0,0,0,4,2,0,25,16.0,183,2,4,36,26,58.1,barzama01,2020-2021,2021
Nathan Bastian,23,NJD,RW,9,1,3,4,4,2,0.4,1,0,0,0,3,0,0,12,8.3,115,1,18,3,6,33.3,bastina01,2020-2021,2021
Drake Batherson,22,OTT,C,11,1,5,6,-6,4,0.1,0,1,0,0,1,4,0,29,3.4,185,6,21,2,1,66.7,bathedr01,2020-2021,2021
Jay Beagle,35,VAN,RW,14,1,4,5,3,4,0.3,1,0,0,0,4,0,0,9,11.1,197,5,18,100,77,56.5,beaglja01,2020-2021,2021
Jake Bean,22,CAR,D,3,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,3,0.0,36,1,1,0,0,,beanja01,2020-2021,2021
Ethan Bear,23,EDM,D,9,0,2,2,5,2,0.7,0,0,0,0,2,0,0,10,0.0,184,9,7,0,0,,bearet01,2020-2021,2021
Nicolas Beaudin,21,CHI,D,4,0,1,1,0,2,0.2,0,0,0,0,0,1,0,2,0.0,55,7,3,0,0,,beaudni01,2020-2021,2021
Nathan Beaulieu,28,WPG,D,11,0,1,1,2,12,0.4,0,0,0,0,1,0,0,12,0.0,198,13,21,0,0,,beaulna01,2020-2021,2021
Anthony Beauvillier,23,NYI,LW,5,0,1,1,-2,0,-0.1,0,0,0,0,0,1,0,4,0.0,73,1,4,0,1,0.0,beauvan01,2020-2021,2021
Pierre-Edouard Bellemare,35,COL,LW,8,0,0,0,1,4,-0.1,0,0,0,0,0,0,0,5,0.0,88,1,3,44,24,64.7,bellepi01,2020-2021,2021
Kieffer Bellows,22,NYI,LW,7,0,0,0,1,0,0.0,0,0,0,0,0,0,0,10,0.0,69,3,15,1,0,100.0,belloki01,2020-2021,2021
Emil Bemstrom,21,CBJ,C,5,0,0,0,1,0,-0.1,0,0,0,0,0,0,0,7,0.0,59,3,4,0,0,,bemstem01,2020-2021,2021
Jamie Benn,31,DAL,LW,4,3,3,6,6,4,1.0,3,0,0,0,3,0,0,11,27.3,63,3,0,15,16,48.4,bennja01,2020-2021,2021
Jordie Benn,33,VAN,D,8,0,3,3,2,5,0.5,0,0,0,0,3,0,0,9,0.0,119,12,4,0,0,,bennjo01,2020-2021,2021
Sam Bennett,24,CGY,C,9,0,1,1,-5,4,-0.2,0,0,0,0,1,0,0,12,0.0,120,2,18,8,10,44.4,bennesa01,2020-2021,2021
Matt Benning,26,NSH,D,10,0,0,0,0,6,0.1,0,0,0,0,0,0,0,6,0.0,140,9,10,0,0,,bennima01,2020-2021,2021
Patrice Bergeron,35,BOS,C,11,6,9,15,5,2,2.0,1,4,1,1,4,5,0,42,14.3,205,7,9,150,99,60.2,bergepa01,2020-2021,2021
Tyler Bertuzzi,25,DET,LW,9,5,2,7,0,4,1.0,2,3,0,1,1,1,0,20,25.0,177,3,13,1,1,50.0,bertuty01,2020-2021,2021
Alex Biega,32,DET,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,12,1,3,0,0,,biegaal01,2020-2021,2021
Anthony Bitetto,30,NYR,D,2,1,0,1,1,2,0.3,1,0,0,0,0,0,0,1,100.0,24,2,4,0,0,,bitetan01,2020-2021,2021
Anders Bjork,24,BOS,LW,11,0,2,2,3,4,0.1,0,0,0,0,2,0,0,4,0.0,135,1,13,0,0,,bjorkan01,2020-2021,2021
Oliver Bjorkstrand,25,CBJ,RW,12,4,6,10,0,23,1.1,3,1,0,0,5,1,0,27,14.8,209,2,14,1,0,100.0,bjorkol01,2020-2021,2021
Nick Bjugstad,28,MIN,C,11,2,1,3,1,8,0.3,2,0,0,1,1,0,0,24,8.3,142,9,11,45,54,45.5,bjugsni01,2020-2021,2021
Colin Blackwell,27,NYR,C,4,1,2,3,2,2,0.4,1,0,0,0,2,0,0,4,25.0,40,0,7,1,1,50.0,blackco01,2020-2021,2021
Sammy Blais,24,STL,LW,6,1,2,3,3,4,0.4,1,0,0,1,2,0,0,4,25.0,65,1,12,0,0,,blaissa01,2020-2021,2021
Anton Blidh,25,BOS,LW,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,19,2,3,0,0,,blidhan01,2020-2021,2021
Teddy Blueger,26,PIT,C,10,2,4,6,0,0,0.6,1,0,1,0,4,0,0,8,25.0,127,6,14,39,39,50.0,bluegte01,2020-2021,2021
Brock Boeser,23,VAN,RW,14,8,5,13,-6,8,1.4,6,2,0,1,4,1,0,37,21.6,263,3,14,1,1,50.0,boesebr01,2020-2021,2021
Zach Bogosian,30,TOR,D,11,0,1,1,1,4,0.3,0,0,0,0,1,0,0,9,0.0,159,9,18,0,0,,bogosza01,2020-2021,2021
Nick Bonino,32,MIN,C,11,1,1,2,-6,4,-0.2,0,1,0,0,1,0,0,19,5.3,186,14,3,114,90,55.9,boninni01,2020-2021,2021
Adam Boqvist,20,CHI,D,6,0,3,3,-1,4,0.4,0,0,0,0,1,2,0,5,0.0,96,4,4,0,0,,boqviad01,2020-2021,2021
Jesper Boqvist,22,NJD,C,5,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,3,0.0,68,3,2,3,5,37.5,boqvije01,2020-2021,2021
Mark Borowiecki,31,NSH,D,8,0,1,1,1,29,0.3,0,0,0,0,1,0,0,4,0.0,102,12,18,0,0,,borowma01,2020-2021,2021
Robert Bortuzzo,31,STL,D,2,0,0,0,1,4,0.1,0,0,0,0,0,0,0,1,0.0,16,2,1,0,0,,borturo01,2020-2021,2021
Evan Bouchard,21,EDM,D,1,0,1,1,1,0,0.2,0,0,0,0,1,0,0,4,0.0,17,0,0,0,0,,bouchev01,2020-2021,2021
Travis Boyd,27,TOR,C,3,1,3,4,4,0,0.6,1,0,0,0,3,0,0,1,100.0,27,0,0,1,7,12.5,boydtr01,2020-2021,2021
Tyler Bozak,34,STL,C,7,0,2,2,-1,2,-0.1,0,0,0,0,2,0,0,2,0.0,93,5,2,37,29,56.1,bozakty01,2020-2021,2021
Erik Brannstrom,21,OTT,D,1,0,1,1,2,0,0.3,0,0,0,0,1,0,0,0,,16,1,0,0,0,,branner01,2020-2021,2021
Derick Brassard,33,ARI,C,10,1,4,5,1,0,0.4,1,0,0,0,3,1,0,10,10.0,158,0,13,33,37,47.1,brassde01,2020-2021,2021
Jesper Bratt,22,NJD,W,3,0,1,1,1,0,0.0,0,0,0,0,1,0,0,8,0.0,59,2,1,0,1,0.0,brattje01,2020-2021,2021
Justin Braun,33,PHI,D,12,0,0,0,1,2,0.2,0,0,0,0,0,0,0,9,0.0,217,16,19,0,0,,braunju01,2020-2021,2021
T.J. Brodie,30,TOR,D,11,0,4,4,0,0,0.6,0,0,0,0,2,2,0,12,0.0,243,12,6,0,0,,broditj01,2020-2021,2021
Jonas Brodin,27,MIN,D,11,2,4,6,2,8,1.3,2,0,0,1,4,0,0,21,9.5,255,19,5,0,0,,brodijo01,2020-2021,2021
Jonny Brodzinski,27,NYR,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,8,0,0,0,0,,brodzjo01,2020-2021,2021
Mathias Brome,26,DET,F,10,0,0,0,-6,6,-0.4,0,0,0,0,0,0,0,8,0.0,134,1,11,0,2,0.0,bromema01,2020-2021,2021
Adam Brooks,24,TOR,C,1,1,0,1,-1,0,0.1,0,1,0,0,0,0,0,1,100.0,9,0,1,1,1,50.0,brookad01,2020-2021,2021
Connor Brown,27,OTT,RW,11,1,4,5,-1,4,0.2,1,0,0,1,4,0,0,23,4.3,207,5,6,2,5,28.6,brownco02,2020-2021,2021
Dustin Brown,36,LAK,RW,10,4,4,8,2,10,1.1,0,4,0,0,3,1,0,17,23.5,169,1,17,1,0,100.0,browndu01,2020-2021,2021
Josh Brown,27,OTT,D,8,0,0,0,-5,8,-0.2,0,0,0,0,0,0,0,1,0.0,122,20,19,0,0,,brownjo01,2020-2021,2021
Pavel Buchnevich,25,NYR,LW,10,3,5,8,-2,0,0.7,3,0,0,1,3,2,0,28,10.7,199,5,7,1,5,16.7,buchnpa01,2020-2021,2021
Connor Bunnaman,22,PHI,F,8,0,1,1,-1,0,-0.2,0,0,0,0,1,0,0,7,0.0,97,1,11,28,22,56.0,bunnaco01,2020-2021,2021
Andre Burakovsky,25,COL,LW,8,3,5,8,0,0,1.0,1,2,0,0,2,3,0,13,23.1,109,4,3,0,0,,burakan01,2020-2021,2021
