Year,Name,Category,From,To,GP,G,A,PTS,+/-,PIM,W,L,T/O,SV%,GAA,OPS,DPS,GPS,PS,pid
1980,Harry Lumley,Player,1944,1960,803,0,0,0,,93,330,329,142,.905,2.74,0.0,0.0,133.6,133.6,lumleha01
1980,Lynn Patrick,Player,1935,1946,455,145,191,336,,240,,,,,,26.6,7.9,0.0,34.5,patrily01
1980,Gump Worsley,Player,1953,1974,860,0,3,3,0,137,333,348,149,.914,2.87,0.0,0.0,131.2,131.2,worslgu01
1979,Harry Howell,Player,1953,1973,1411,94,324,418,-152,1298,,,,,,21.9,65.7,0.0,87.6,howelha01
1979,Gordon Juckes,Builder,,,,,,,,,,,,,,,,,,
1979,Bobby Orr,Player,1967,1979,657,270,645,915,582,953,,,,,,90.1,60.9,0.0,150.9,orrbo01
1979,Henri Richard,Player,1956,1975,1258,358,688,1046,243,932,,,,,,75.5,23.3,0.0,98.7,richahe01
1978,Andy Bathgate,Player,1953,1971,1069,349,624,973,-60,624,,,,,,79.0,12.9,0.0,91.8,bathgan01
1978,John Bickell,Builder,,,,,,,,,,,,,,,,,,
1978,Jacques Plante,Player,1953,1973,837,0,8,8,0,92,437,246,145,.920,2.38,0.0,0.0,173.7,173.7,plantja01
1978,Sam Pollock,Builder,,,,,,,,,,,,,,,,,,
1978,Marcel Pronovost,Player,1951,1970,1206,88,257,345,39,847,,,,,,21.4,80.1,0.0,101.5,pronoma01
1978,William Tutt,Builder,,,,,,,,,,,,,,,,,,
1977,Bunny Ahearne,Builder,,,,,,,,,,,,,,,,,,
1977,Harold Ballard,Builder,,,,,,,,,,,,,,,,,,
1977,Joseph Cattarinich,Builder,,,,,,,,,,,,,,,,,,
1977,Alex Delvecchio,Player,1951,1974,1550,456,825,1281,24,383,,,,,,98.7,24.8,0.0,123.5,delveal01
1977,Tim Horton,Player,1950,1974,1445,115,403,518,191,1611,,,,,,33.7,97.9,0.0,131.7,hortoti01
1976,Johnny Bower,Player,1954,1970,552,0,3,3,0,36,250,192,90,.922,2.51,0.0,0.0,104.3,104.3,bowerjo01
1976,Jack Gibson,Builder,,,,,,,,,,,,,,,,,,
1976,Bill Quackenbush,Player,1943,1956,775,62,223,285,,95,,,,,,19.8,48.9,0.0,68.7,quackbi01
1976,Philip Ross,Builder,,,,,,,,,,,,,,,,,,
1976,William Wirtz,Builder,,,,,,,,,,,,,,,,,,
1975,George Armstrong,Player,1950,1971,1188,296,417,713,101,726,,,,,,46.1,19.8,0.0,66.0,armstge01
1975,Ace Bailey,Player,1927,1934,316,111,81,192,,488,,,,,,29.7,6.5,0.0,36.2,baileac01
1975,Frank Buckland,Builder,,,,,,,,,,,,,,,,,,
1975,Gordie Drillon,Player,1937,1943,312,155,140,295,,56,,,,,,31.5,5.9,0.0,37.4,drillgo01
1975,Glenn Hall,Player,1953,1971,906,0,9,9,0,98,407,326,164,.918,2.50,0.0,0.0,177.6,177.6,hallgl01
1975,William Jennings,Builder,,,,,,,,,,,,,,,,,,
1975,Pierre Pilote,Player,1956,1969,890,80,418,498,187,1257,,,,,,37.8,55.3,0.0,93.1,pilotpi01
1974,Billy Burch,Player,1923,1933,390,136,60,196,,263,,,,,,32.7,7.5,0.0,40.2,burchbi01
1974,Art Coulter,Player,1932,1942,458,31,82,113,,546,,,,,,6.3,39.9,0.0,46.1,coultar01
1974,Tommy Dunderdale,Player,,,,,,,,,,,,,,,,,,dundeto01
1974,Charles Hay,Builder,,,,,,,,,,,,,,,,,,
1974,Tommy Ivan,Builder,,,,,,,,,,,,,,,,,,
1974,Dickie Moore,Player,1952,1968,719,261,346,607,63,646,,,,,,51.9,13.4,0.0,65.2,mooredi01
1974,Anatoli Tarasov,Builder,,,,,,,,,,,,,,,,,,
1974,Carl Voss,Builder,1927,1938,264,34,71,105,,50,,,,,,3.7,3.8,0.0,7.5,
1973,Doug Harvey,Player,1948,1969,1113,88,452,540,46,1225,,,,,,42.9,80.3,0.0,123.2,harvedo01
1973,Hartland Molson,Builder,,,,,,,,,,,,,,,,,,
1973,Chuck Rayner,Player,1941,1953,425,0,0,0,,26,138,207,78,,3.03,0.0,0.0,61.6,61.6,raynech01
1973,Tommy Smith,Player,1920,1920,10,0,1,1,,11,,,,,,-0.7,0.0,0.0,-0.7,smithto01
1973,Frank Udvari,Referee/Linesman,,,,,,,,,,,,,,,,,,
1972,Weston Adams,Builder,,,,,,,,,,,,,,,,,,
1972,Jean Beliveau,Player,1951,1971,1125,507,712,1219,117,1033,,,,,,116.8,21.3,0.0,138.1,belivje01
1972,Bernie Geoffrion,Player,1951,1968,883,393,429,822,39,683,,,,,,81.3,16.2,0.0,97.5,geoffbe01
1972,Hap Holmes,Player,1918,1928,103,0,0,0,,0,39,54,10,,2.47,0.0,0.0,15.7,15.7,holmeha01
1972,Gordie Howe,Player,1947,1980,1767,801,1049,1850,160,1685,,,,,,186.6,30.5,0.0,217.1,howego01
1972,Hooley Smith,Player,1925,1941,717,200,226,426,,1056,,,,,,51.5,13.7,0.0,65.2,smithho01
1971,Busher Jackson,Player,1930,1944,634,241,234,475,,450,,,,,,50.6,10.8,0.0,61.4,jacksbu01
1971,Gord Roberts,Player,,,,,,,,,,,,,,,,,,robergo01
1971,Terry Sawchuk,Player,1950,1970,971,0,7,7,0,225,445,336,171,.907,2.50,0.0,0.0,179.0,179.0,sawchte01
1971,Cooney Weiland,Player,1929,1939,509,173,162,335,,149,,,,,,43.2,11.3,0.0,54.6,weilaco01
1971,Arthur Wirtz,Builder,,,,,,,,,,,,,,,,,,
1970,Babe Dye,Player,1920,1931,272,203,50,253,,220,,,,,,41.2,5.4,0.0,46.6,dyeba01
1970,Bill Gadsby,Player,1947,1966,1248,130,438,568,-62,1539,,,,,,47.0,53.3,0.0,100.3,gadsbbi01
1970,Tom Johnson,Player,1948,1965,978,51,213,264,56,960,,,,,,12.7,68.9,0.0,81.6,johnsto01
1970,Bob LeBel,Builder,,,,,,,,,,,,,,,,,,
1969,Sid Abel,Player,1939,1954,612,188,284,472,,376,,,,,,37.8,11.6,0.0,49.4,abelsi01
1969,Bryan Hextall,Player,1937,1948,449,187,180,367,,227,,,,,,29.4,7.0,0.0,36.5,hextabr01
1969,Red Kelly,Player,1948,1967,1316,281,542,823,50,327,,,,,,76.1,70.2,0.0,146.3,kellyre01
1969,Al Leader,Builder,,,,,,,,,,,,,,,,,,
1969,Bruce Norris,Builder,,,,,,,,,,,,,,,,,,
1969,Roy Worters,Player,1926,1937,484,0,0,0,,0,171,230,82,,2.28,0.0,0.0,75.7,75.7,wortero01
1968,Bill Cowley,Player,1935,1947,549,195,354,549,,143,,,,,,46.7,10.5,0.0,57.2,cowlebi01
1968,Jimmy Dunn,Builder,,,,,,,,,,,,,,,,,,
1968,Jim Hendy,Builder,,,,,,,,,,,,,,,,,,
1967,Turk Broda,Player,1937,1952,629,0,0,0,,8,304,222,102,,2.53,0.0,0.0,120.4,120.4,brodatu01
1967,Neil Colville,Player,1936,1949,465,100,166,266,,213,,,,,,21.3,15.5,0.0,36.8,colvine01
1967,Harry Oliver,Player,1927,1937,465,127,85,212,,147,,,,,,29.7,9.4,0.0,39.1,oliveha01
1967,Red Storey,Referee/Linesman,,,,,,,,,,,,,,,,,,
1966,Max Bentley,Player,1941,1954,646,245,299,544,,177,,,,,,46.6,10.0,0.0,56.6,bentlma01
1966,Toe Blake,Player,1935,1948,577,235,294,529,,282,,,,,,42.2,10.4,0.0,52.6,blaketo01
