pid,Player,info
adamsjo04,Johan Adams,"['Position: RW\xa0•\xa0    Shoots: Right\n', '6-5,\xa0204lb\xa0(196cm,\xa092kg) ', ' Born:  February 5,\xa01997   in\xa0Boston,\xa0Massachusetts  us ', 'Draft: Detroit, 6th round (162nd\xa0overall), 2017\xa0NHL\xa0Entry ']"
adamsjo03,John Adams,"['Position: D\n', ' Born:  December 21,\xa01982   ', 'Draft: Buffalo, 3rd round (82nd\xa0overall), 2002\xa0NHL\xa0Entry ']"
adamsjo01,John Adams,"['Position: LW\xa0•\xa0    Shoots: Left\n', '5-10,\xa0163lb\xa0(178cm,\xa073kg) ', ' Born:  May 5,\xa01920   in\xa0Calgary,\xa0Alberta  ca ']"
adamsjo02,John Adams,"['Position: G\xa0•\xa0    Catches: Left\n', '6-0,\xa0200lb\xa0(183cm,\xa090kg) ', ' Born:  July 27,\xa01946   in\xa0Port\xa0Arthur,\xa0Ontario  ca ']"
adamske01,Kevyn Adams,"['Position: C\xa0•\xa0    Shoots: Right\n', '6-1,\xa0200lb\xa0(185cm,\xa090kg) ', ' Born:  October 8,\xa01974   in\xa0Washington,\xa0District of Columbia  us ', 'Draft: Boston, 1st round (25th\xa0overall), 1993\xa0NHL\xa0Entry ', 'Amateur Teams: Miami\xa0(Ohio) ']"
adamsma01,Mark Adams,"['Position: D\n', ' Born:  May 23,\xa01991   ', 'Draft: Buffalo, 5th round (134th\xa0overall), 2009\xa0NHL\xa0Entry ']"
adamsst01,Stew Adams,"['Position: LW\xa0•\xa0    Shoots: Left\n', '5-10,\xa0165lb\xa0(178cm,\xa074kg) ', ' Born:  October 16,\xa01904   in\xa0Calgary,\xa0Alberta  ca ', 'Died: May\xa018,\xa01978  ']"
addisca01,Calen Addison,"['Position: D\xa0•\xa0    Shoots: Right\n', '5-11,\xa0180lb\xa0(180cm,\xa081kg) ', ' Born:  April 11,\xa02000   in\xa0Brandon,\xa0Manitoba  ca ', 'Draft: Pittsburgh, 2nd round (53rd\xa0overall), 2018\xa0NHL\xa0Entry ', 'Amateur Teams: Lethbridge\xa0Hurricanes ', 'Pronunciation: \\KAY-lehn AD-ih-suhn\\']"
addisje01,Jeremiah Addison,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-0,\xa0183lb\xa0(183cm,\xa083kg) ', ' Born:  October 21,\xa01996   in\xa0Brampton,\xa0Ontario  ca ', 'Draft: Montreal, 7th round (207th\xa0overall), 2015\xa0NHL\xa0Entry ', ""Amateur Teams: Ottawa\xa067's "", 'Pronunciation: \\jair-ih-MY-uh a-DIH-suhn\\']"
adduora01,Ray Adduono,"['Position: C\xa0•\xa0    Shoots: Left\n', '5-9,\xa0160lb\xa0(175cm,\xa072kg) ', ' Born:  January 21,\xa01947   in\xa0Fort\xa0William,\xa0Ontario  ca ']"
adduori01,Rick Adduono,"['Position: C\n', '5-11,\xa0182lb\xa0(180cm,\xa082kg) ', ' Born:  January 25,\xa01955   in\xa0Fort\xa0William,\xa0Ontario  ca ', 'Draft: Boston, 4th round (60th\xa0overall), 1975\xa0NHL\xa0Amateur ', 'Amateur Teams: St.\xa0Catharines\xa0Black\xa0Hawks ']"
aebisda01,David Aebischer,"['Position: G\xa0•\xa0    Catches: Left\n', '6-1,\xa0185lb\xa0(185cm,\xa083kg) ', ' Born:  February 7,\xa01978   in\xa0Geneva,\xa0Switzerland  ch ', 'Draft: Colorado, 6th round (161st\xa0overall), 1997\xa0NHL\xa0Entry ']"
afanadm01,Dmitry Afanasenkov,"['Position: LW\xa0•\xa0    Shoots: Right\n', '6-2,\xa0209lb\xa0(188cm,\xa094kg) ', ' Born:  May 12,\xa01980   in\xa0Arkhangelsk,\xa0USSR  su ', 'Draft: Tampa Bay, 3rd round (72nd\xa0overall), 1998\xa0NHL\xa0Entry ', 'Amateur Teams: Moncton\xa0Wildcats, Sherbrooke\xa0Beavers ', 'Pronunciation: \\ah-fan-ah-SEHN-kohv\\']"
afanaeg01,Egor  Afanasyev,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-3,\xa0204lb\xa0(190cm,\xa092kg) ', ' Born:  January 23,\xa02001   in\xa0Tver,\xa0Russian\xa0Federation  ru ', 'Draft: Nashville, 2nd round (45th\xa0overall), 2019\xa0NHL\xa0Entry ']"
afflebr01,Bruce Affleck,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-0,\xa0205lb\xa0(183cm,\xa092kg) ', ' Born:  May 5,\xa01954   in\xa0Salmon\xa0Arm,\xa0British Columbia  ca ', 'Draft: California, 2nd round (21st\xa0overall), 1974\xa0NHL\xa0Amateur ', 'Amateur Teams: Denver ']"
afinoma01,Maxim Afinogenov,"['Position: RW\xa0•\xa0    Shoots: Left\n', '6-0,\xa0190lb\xa0(183cm,\xa086kg) ', ' Born:  September 4,\xa01979   in\xa0Moscow,\xa0USSR  su ', 'Draft: Buffalo, 3rd round (69th\xa0overall), 1997\xa0NHL\xa0Entry ', 'Pronunciation: \\MAK-sim ah-fin-uh-GEN-ahf\\']"
agnewji01,Jim Agnew,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-1,\xa0190lb\xa0(185cm,\xa086kg) ', ' Born:  March 21,\xa01966   in\xa0Hartney,\xa0Manitoba  ca ', 'Draft: Vancouver, 8th round (157th\xa0overall), 1984\xa0NHL\xa0Entry ', 'Amateur Teams: Brandon\xa0Wheat\xa0Kings, Portland\xa0Winter\xa0Hawks ']"
agostke01,Kenny Agostino,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-0,\xa0199lb\xa0(183cm,\xa090kg) ', ' Born:  April 30,\xa01992   in\xa0Morristown,\xa0New Jersey  us ', 'Draft: Pittsburgh, 5th round (140th\xa0overall), 2010\xa0NHL\xa0Entry ', 'Amateur Teams: Yale ', 'Pronunciation: \\KEHN-nee a-goh-STEE-noh\\']"
agozzan01,Andrew Agozzino,"['Position: LW\xa0•\xa0    Shoots: Left\n', '5-10,\xa0180lb\xa0(178cm,\xa081kg) ', ' Born:  January 3,\xa01991   in\xa0Kleinburg,\xa0Ontario  ca ', 'Amateur Teams: Niagara\xa0IceDogs ', 'Pronunciation: \\AN-droo a-guh-ZEEN-oh\\']"
