Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Dallas Stars,Derian Hatcher,27.0,D,"Sterling Hts., MI",US,2000,hatchde01
Detroit Red Wings,Steve Yzerman,34.0,C,"Cranbrook, BC",CA,2000,yzermst01
Edmonton Oilers,Doug Weight,29.0,C,"Warren, MI",US,2000,weighdo01
Florida Panthers,Scott Mellanby,33.0,RW,"Montreal, QC",CA,2000,mellasc01
Los Angeles Kings,Rob Blake,30.0,D,"Simcoe, ON",CA,2000,blakero01
Mighty Ducks of Anaheim,Paul Kariya,25.0,LW,"Vancouver, BC",CA,2000,kariypa01
Montreal Canadiens,Saku Koivu,25.0,C,Turku,FI,2000,koivusa01
Nashville Predators,Tom Fitzgerald,31.0,RW,"Billerica, MA",US,2000,fitzgto01
New Jersey Devils,Scott Stevens,35.0,D,"Kitchener, ON",CA,2000,stevesc01
New York Islanders,Kenny Jonsson,25.0,D,Angelholm,SE,2000,jonsske01
New York Rangers,Brian Leetch,31.0,D,"Corpus Christi, TX",US,2000,leetcbr01
Ottawa Senators,Daniel Alfredsson,27.0,RW,Gothenburg,SE,2000,alfreda01
Philadelphia Flyers,Eric Desjardins,30.0,D,"Rouyn, QC",CA,2000,desjaer01
Philadelphia Flyers,Eric Lindros,26.0,C,"London, ON",CA,2000,lindrer01
Phoenix Coyotes,Keith Tkachuk,27.0,LW,"Melrose, MA",US,2000,tkachke01
Pittsburgh Penguins,Jaromir Jagr,27.0,RW,Kladno,CS,2000,jagrja01
San Jose Sharks,Owen Nolan,27.0,RW,Belfast,GB,2000,nolanow01
St. Louis Blues,Chris Pronger,25.0,D,"Dryden, ON",CA,2000,prongch01
Tampa Bay Lightning,Chris Gratton,24.0,C,"Brantford, ON",CA,2000,grattch01
Tampa Bay Lightning,Bill Houlder,32.0,D,"Thunder Bay, ON",CA,2000,houldbi01
Tampa Bay Lightning,Vincent Lecavalier,19.0,C,"Ile Bizard, QC",CA,2000,lecavvi01
Toronto Maple Leafs,Mats Sundin,28.0,C,Bromma,SE,2000,sundima01
Vancouver Canucks,Mark Messier,39.0,LW/C,"Edmonton, AB",CA,2000,messima01
Washington Capitals,Adam Oates,37.0,C,"Weston, ON",CA,2000,oatesad01
Boston Bruins,Ray Bourque,38.0,D,"Montreal, QC",CA,1999,bourqra01
Buffalo Sabres,Michael Peca,24.0,C,"Toronto, ON",CA,1999,pecami01
Calgary Flames,Todd Simpson,25.0,D,"North Vancouver, BC",CA,1999,simpsto01
Carolina Hurricanes,Keith Primeau,27.0,C,"Toronto, ON",CA,1999,primeke02
Chicago Blackhawks,Chris Chelios,37.0,D,"Chicago, IL",US,1999,chelich01
Colorado Avalanche,Joe Sakic,29.0,C,"Burnaby, BC",CA,1999,sakicjo01
Dallas Stars,Derian Hatcher,26.0,D,"Sterling Hts., MI",US,1999,hatchde01
Detroit Red Wings,Steve Yzerman,33.0,C,"Cranbrook, BC",CA,1999,yzermst01
Edmonton Oilers,Kelly Buchberger,32.0,RW,"Langenburg, SK",CA,1999,buchbke01
Florida Panthers,Scott Mellanby,32.0,RW,"Montreal, QC",CA,1999,mellasc01
Los Angeles Kings,Rob Blake,29.0,D,"Simcoe, ON",CA,1999,blakero01
Mighty Ducks of Anaheim,Paul Kariya,24.0,LW,"Vancouver, BC",CA,1999,kariypa01
Montreal Canadiens,Vincent Damphousse,31.0,C/LW,"Montreal, QC",CA,1999,damphvi01
Nashville Predators,Tom Fitzgerald,30.0,RW,"Billerica, MA",US,1999,fitzgto01
New Jersey Devils,Scott Stevens,34.0,D,"Kitchener, ON",CA,1999,stevesc01
New York Islanders,Trevor Linden,28.0,RW,"Medicine Hat, AB",CA,1999,lindetr01
New York Rangers,Brian Leetch,30.0,D,"Corpus Christi, TX",US,1999,leetcbr01
Ottawa Senators,Alexei Yashin,25.0,C,Sverdlovsk,SU,1999,yashial01
Philadelphia Flyers,Eric Lindros,25.0,C,"London, ON",CA,1999,lindrer01
Phoenix Coyotes,Keith Tkachuk,26.0,LW,"Melrose, MA",US,1999,tkachke01
Pittsburgh Penguins,Jaromir Jagr,26.0,RW,Kladno,CS,1999,jagrja01
San Jose Sharks,Owen Nolan,26.0,RW,Belfast,GB,1999,nolanow01
St. Louis Blues,Chris Pronger,24.0,D,"Dryden, ON",CA,1999,prongch01
Tampa Bay Lightning,Rob Zamuner,29.0,LW,"Oakville, ON",CA,1999,zamunro01
Toronto Maple Leafs,Mats Sundin,27.0,C,Bromma,SE,1999,sundima01
Vancouver Canucks,Mark Messier,38.0,LW/C,"Edmonton, AB",CA,1999,messima01
Washington Capitals,Dale Hunter,38.0,C,"Petrolia, ON",CA,1999,hunteda02
Boston Bruins,Ray Bourque,37.0,D,"Montreal, QC",CA,1998,bourqra01
Buffalo Sabres,Donald Audette,28.0,RW,"Laval, QC",CA,1998,audetdo01
Buffalo Sabres,Michael Peca,23.0,C,"Toronto, ON",CA,1998,pecami01
Calgary Flames,Todd Simpson,24.0,D,"North Vancouver, BC",CA,1998,simpsto01
Carolina Hurricanes,Kevin Dineen,34.0,RW,"Quebec City, QC",CA,1998,dineeke01
Chicago Blackhawks,Chris Chelios,36.0,D,"Chicago, IL",US,1998,chelich01
Colorado Avalanche,Joe Sakic,28.0,C,"Burnaby, BC",CA,1998,sakicjo01
Dallas Stars,Derian Hatcher,25.0,D,"Sterling Hts., MI",US,1998,hatchde01
Detroit Red Wings,Steve Yzerman,32.0,C,"Cranbrook, BC",CA,1998,yzermst01
Edmonton Oilers,Kelly Buchberger,31.0,RW,"Langenburg, SK",CA,1998,buchbke01
Florida Panthers,Scott Mellanby,31.0,RW,"Montreal, QC",CA,1998,mellasc01
Los Angeles Kings,Rob Blake,28.0,D,"Simcoe, ON",CA,1998,blakero01
Mighty Ducks of Anaheim,Paul Kariya,23.0,LW,"Vancouver, BC",CA,1998,kariypa01
Mighty Ducks of Anaheim,Teemu Selanne,27.0,RW,Helsinki,FI,1998,selante01
Montreal Canadiens,Vincent Damphousse,30.0,C/LW,"Montreal, QC",CA,1998,damphvi01
New Jersey Devils,Scott Stevens,33.0,D,"Kitchener, ON",CA,1998,stevesc01
New York Islanders,Trevor Linden,27.0,RW,"Medicine Hat, AB",CA,1998,lindetr01
New York Islanders,Bryan McCabe,22.0,D,"St. Catharines, ON",CA,1998,mccabbr01
New York Rangers,Brian Leetch,29.0,D,"Corpus Christi, TX",US,1998,leetcbr01
Ottawa Senators,Randy Cunneyworth,36.0,LW,"Etobicoke, ON",CA,1998,cunnera01
Philadelphia Flyers,Eric Lindros,24.0,C,"London, ON",CA,1998,lindrer01
Phoenix Coyotes,Keith Tkachuk,25.0,LW,"Melrose, MA",US,1998,tkachke01
Pittsburgh Penguins,Ron Francis,34.0,C,"Sault Ste. Marie, ON",CA,1998,francro01
San Jose Sharks,Todd Gill,32.0,D,"Cardinal, ON",CA,1998,gillto01
St. Louis Blues,Chris Pronger,23.0,D,"Dryden, ON",CA,1998,prongch01
Tampa Bay Lightning,Mikael Renberg,25.0,RW,Pitea,SE,1998,renbemi01
Tampa Bay Lightning,Paul Ysebaert,31.0,C,"Sarnia, ON",CA,1998,ysebapa01
Toronto Maple Leafs,Mats Sundin,26.0,C,Bromma,SE,1998,sundima01
Vancouver Canucks,Mark Messier,37.0,LW/C,"Edmonton, AB",CA,1998,messima01
Washington Capitals,Dale Hunter,37.0,C,"Petrolia, ON",CA,1998,hunteda02
Boston Bruins,Ray Bourque,36.0,D,"Montreal, QC",CA,1997,bourqra01
Buffalo Sabres,Pat LaFontaine,31.0,C,"St. Louis, MO",US,1997,lafonpa01
Calgary Flames,Theoren Fleury,28.0,RW,"Oxbow, SK",CA,1997,fleurth01
Chicago Blackhawks,Chris Chelios,35.0,D,"Chicago, IL",US,1997,chelich01
Colorado Avalanche,Joe Sakic,27.0,C,"Burnaby, BC",CA,1997,sakicjo01
Dallas Stars,Derian Hatcher,24.0,D,"Sterling Hts., MI",US,1997,hatchde01
Detroit Red Wings,Steve Yzerman,31.0,C,"Cranbrook, BC",CA,1997,yzermst01
Edmonton Oilers,Kelly Buchberger,30.0,RW,"Langenburg, SK",CA,1997,buchbke01
Florida Panthers,Brian Skrudland,33.0,C,"Peace River, AB",CA,1997,skrudbr01
Hartford Whalers,Kevin Dineen,33.0,RW,"Quebec City, QC",CA,1997,dineeke01
Los Angeles Kings,Rob Blake,27.0,D,"Simcoe, ON",CA,1997,blakero01
Mighty Ducks of Anaheim,Paul Kariya,22.0,LW,"Vancouver, BC",CA,1997,kariypa01
Montreal Canadiens,Vincent Damphousse,29.0,C/LW,"Montreal, QC",CA,1997,damphvi01
Montreal Canadiens,Pierre Turgeon,27.0,C,"Rouyn, QC",CA,1997,turgepi01
New Jersey Devils,Scott Stevens,32.0,D,"Kitchener, ON",CA,1997,stevesc01
New York Islanders,No Captain,,,,,1997,
New York Rangers,Mark Messier,36.0,LW/C,"Edmonton, AB",CA,1997,messima01
Ottawa Senators,Randy Cunneyworth,35.0,LW,"Etobicoke, ON",CA,1997,cunnera01
Philadelphia Flyers,Eric Lindros,23.0,C,"London, ON",CA,1997,lindrer01
Phoenix Coyotes,Keith Tkachuk,24.0,LW,"Melrose, MA",US,1997,tkachke01
Pittsburgh Penguins,Mario Lemieux,31.0,C,"Montreal, QC",CA,1997,lemiema01
San Jose Sharks,Todd Gill,31.0,D,"Cardinal, ON",CA,1997,gillto01
St. Louis Blues,No Captain,,,,,1997,
Tampa Bay Lightning,Paul Ysebaert,30.0,C,"Sarnia, ON",CA,1997,ysebapa01
Toronto Maple Leafs,Doug Gilmour,33.0,C,"Kingston, ON",CA,1997,gilmodo01
Vancouver Canucks,Trevor Linden,26.0,RW,"Medicine Hat, AB",CA,1997,lindetr01
Washington Capitals,Dale Hunter,36.0,C,"Petrolia, ON",CA,1997,hunteda02
Boston Bruins,Ray Bourque,35.0,D,"Montreal, QC",CA,1996,bourqra01
Buffalo Sabres,Pat LaFontaine,30.0,C,"St. Louis, MO",US,1996,lafonpa01
Calgary Flames,Theoren Fleury,27.0,RW,"Oxbow, SK",CA,1996,fleurth01
Chicago Blackhawks,Chris Chelios,34.0,D,"Chicago, IL",US,1996,chelich01
Colorado Avalanche,Joe Sakic,26.0,C,"Burnaby, BC",CA,1996,sakicjo01
Dallas Stars,Derian Hatcher,23.0,D,"Sterling Hts., MI",US,1996,hatchde01
Detroit Red Wings,Steve Yzerman,30.0,C,"Cranbrook, BC",CA,1996,yzermst01
Edmonton Oilers,Kelly Buchberger,29.0,RW,"Langenburg, SK",CA,1996,buchbke01
Florida Panthers,Brian Skrudland,32.0,C,"Peace River, AB",CA,1996,skrudbr01
Hartford Whalers,Brendan Shanahan,27.0,LW,"Mimico, ON",CA,1996,shanabr01
Los Angeles Kings,Rob Blake,26.0,D,"Simcoe, ON",CA,1996,blakero01
Los Angeles Kings,Wayne Gretzky,35.0,C,"Brantford, ON",CA,1996,gretzwa01
Mighty Ducks of Anaheim,Randy Ladouceur,35.0,D,"Brockville, ON",CA,1996,ladoura01
Montreal Canadiens,Mike Keane,28.0,RW,"Winnipeg, MB",CA,1996,keanemi01
Montreal Canadiens,Pierre Turgeon,26.0,C,"Rouyn, QC",CA,1996,turgepi01
New Jersey Devils,Scott Stevens,31.0,D,"Kitchener, ON",CA,1996,stevesc01
New York Islanders,Pat Flatley,32.0,RW,"Toronto, ON",CA,1996,flatlpa01
New York Rangers,Mark Messier,35.0,LW/C,"Edmonton, AB",CA,1996,messima01
Ottawa Senators,Randy Cunneyworth,34.0,LW,"Etobicoke, ON",CA,1996,cunnera01
Philadelphia Flyers,Eric Lindros,22.0,C,"London, ON",CA,1996,lindrer01
Pittsburgh Penguins,Mario Lemieux,30.0,C,"Montreal, QC",CA,1996,lemiema01
San Jose Sharks,Jeff Odgers,26.0,RW,"Spy Hill, SK",CA,1996,odgerje01
St. Louis Blues,Shayne Corson,29.0,LW,"Barrie, ON",CA,1996,corsosh01
St. Louis Blues,Wayne Gretzky,35.0,C,"Brantford, ON",CA,1996,gretzwa01
St. Louis Blues,Brett Hull,31.0,RW,"Belleville, ON",CA,1996,hullbr01
Tampa Bay Lightning,Paul Ysebaert,29.0,C,"Sarnia, ON",CA,1996,ysebapa01
Toronto Maple Leafs,Doug Gilmour,32.0,C,"Kingston, ON",CA,1996,gilmodo01
Vancouver Canucks,Trevor Linden,25.0,RW,"Medicine Hat, AB",CA,1996,lindetr01
Washington Capitals,Dale Hunter,35.0,C,"Petrolia, ON",CA,1996,hunteda02
Winnipeg Jets,Kris King,29.0,LW,"Bracebridge, ON",CA,1996,kingkr01
Boston Bruins,Ray Bourque,34.0,D,"Montreal, QC",CA,1995,bourqra01
Buffalo Sabres,Pat LaFontaine,29.0,C,"St. Louis, MO",US,1995,lafonpa01
Calgary Flames,Joe Nieuwendyk,28.0,C,"Oshawa, ON",CA,1995,nieuwjo01
Chicago Blackhawks,Dirk Graham,35.0,W,"Regina, SK",CA,1995,grahadi01
Dallas Stars,Neal Broten,35.0,C,"Roseau, MN",US,1995,brotene01
Dallas Stars,Derian Hatcher,22.0,D,"Sterling Hts., MI",US,1995,hatchde01
Detroit Red Wings,Steve Yzerman,29.0,C,"Cranbrook, BC",CA,1995,yzermst01
Edmonton Oilers,Shayne Corson,28.0,LW,"Barrie, ON",CA,1995,corsosh01
Florida Panthers,Brian Skrudland,31.0,C,"Peace River, AB",CA,1995,skrudbr01
Hartford Whalers,Pat Verbeek,30.0,RW,"Sarnia, ON",CA,1995,verbepa01
Los Angeles Kings,Wayne Gretzky,34.0,C,"Brantford, ON",CA,1995,gretzwa01
Mighty Ducks of Anaheim,Randy Ladouceur,34.0,D,"Brockville, ON",CA,1995,ladoura01
Montreal Canadiens,Mike Keane,27.0,RW,"Winnipeg, MB",CA,1995,keanemi01
Montreal Canadiens,Kirk Muller,28.0,LW,"Kingston, ON",CA,1995,mulleki01
New Jersey Devils,Scott Stevens,30.0,D,"Kitchener, ON",CA,1995,stevesc01
New York Islanders,Pat Flatley,31.0,RW,"Toronto, ON",CA,1995,flatlpa01
New York Rangers,Mark Messier,34.0,LW/C,"Edmonton, AB",CA,1995,messima01
Ottawa Senators,Randy Cunneyworth,33.0,LW,"Etobicoke, ON",CA,1995,cunnera01
Philadelphia Flyers,Eric Lindros,21.0,C,"London, ON",CA,1995,lindrer01
Pittsburgh Penguins,Ron Francis,31.0,C,"Sault Ste. Marie, ON",CA,1995,francro01
Quebec Nordiques,Joe Sakic,25.0,C,"Burnaby, BC",CA,1995,sakicjo01
San Jose Sharks,Bob Errey,30.0,LW,"Montreal, QC",CA,1995,erreybo01
San Jose Sharks,Jeff Odgers,25.0,RW,"Spy Hill, SK",CA,1995,odgerje01
St. Louis Blues,Brett Hull,30.0,RW,"Belleville, ON",CA,1995,hullbr01
Tampa Bay Lightning,No Captain,,,,,1995,
Toronto Maple Leafs,Doug Gilmour,31.0,C,"Kingston, ON",CA,1995,gilmodo01
Vancouver Canucks,Trevor Linden,24.0,RW,"Medicine Hat, AB",CA,1995,lindetr01
Washington Capitals,Dale Hunter,34.0,C,"Petrolia, ON",CA,1995,hunteda02
Winnipeg Jets,Keith Tkachuk,22.0,LW,"Melrose, MA",US,1995,tkachke01
Boston Bruins,Ray Bourque,33.0,D,"Montreal, QC",CA,1994,bourqra01
Buffalo Sabres,Pat LaFontaine,28.0,C,"St. Louis, MO",US,1994,lafonpa01
Buffalo Sabres,Alexander Mogilny,24.0,RW,Khabarovsk,SU,1994,mogilal01
Calgary Flames,Joe Nieuwendyk,27.0,C,"Oshawa, ON",CA,1994,nieuwjo01
Chicago Blackhawks,Dirk Graham,34.0,W,"Regina, SK",CA,1994,grahadi01
Dallas Stars,Mark Tinordi,27.0,D,"Red Deer, AB",CA,1994,tinorma01
Detroit Red Wings,Steve Yzerman,28.0,C,"Cranbrook, BC",CA,1994,yzermst01
Edmonton Oilers,Craig MacTavish,35.0,C,"London, ON",CA,1994,mactacr01
Florida Panthers,Brian Skrudland,30.0,C,"Peace River, AB",CA,1994,skrudbr01
Hartford Whalers,Pat Verbeek,29.0,RW,"Sarnia, ON",CA,1994,verbepa01
Los Angeles Kings,Wayne Gretzky,33.0,C,"Brantford, ON",CA,1994,gretzwa01
Mighty Ducks of Anaheim,Troy Loney,30.0,LW,"Bow Island, AB",CA,1994,loneytr01
Montreal Canadiens,Guy Carbonneau,33.0,C,"Sept-Iles, QC",CA,1994,carbogu01
New Jersey Devils,Scott Stevens,29.0,D,"Kitchener, ON",CA,1994,stevesc01
New York Islanders,Pat Flatley,30.0,RW,"Toronto, ON",CA,1994,flatlpa01
New York Rangers,Mark Messier,33.0,LW/C,"Edmonton, AB",CA,1994,messima01
Ottawa Senators,Gord Dineen,31.0,D,"Quebec City, QC",CA,1994,dineego01
Ottawa Senators,Mark Lamb,29.0,C,"Ponteix, SK",CA,1994,lambma01
Ottawa Senators,Brad Shaw,29.0,D,"Cambridge, ON",CA,1994,shawbr01
Philadelphia Flyers,Kevin Dineen,30.0,RW,"Quebec City, QC",CA,1994,dineeke01
Pittsburgh Penguins,Mario Lemieux,28.0,C,"Montreal, QC",CA,1994,lemiema01
Quebec Nordiques,Joe Sakic,24.0,C,"Burnaby, BC",CA,1994,sakicjo01
San Jose Sharks,Bob Errey,29.0,LW,"Montreal, QC",CA,1994,erreybo01
St. Louis Blues,Brett Hull,29.0,RW,"Belleville, ON",CA,1994,hullbr01
Tampa Bay Lightning,No Captain,,,,,1994,
Toronto Maple Leafs,Wendel Clark,27.0,LW/D,"Kelvington, SK",CA,1994,clarkwe01
Vancouver Canucks,Trevor Linden,23.0,RW,"Medicine Hat, AB",CA,1994,lindetr01
Washington Capitals,Kevin Hatcher,27.0,D,"Detroit, MI",US,1994,hatchke01
Winnipeg Jets,Dean Kennedy,31.0,D,"Redvers, SK",CA,1994,kennede01
Winnipeg Jets,Keith Tkachuk,21.0,LW,"Melrose, MA",US,1994,tkachke01
Boston Bruins,Ray Bourque,32.0,D,"Montreal, QC",CA,1993,bourqra01
Buffalo Sabres,Pat LaFontaine,27.0,C,"St. Louis, MO",US,1993,lafonpa01
Buffalo Sabres,Mike Ramsey,32.0,D,"Minneapolis, MN",US,1993,ramsemi01
Calgary Flames,Joe Nieuwendyk,26.0,C,"Oshawa, ON",CA,1993,nieuwjo01
Chicago Blackhawks,Dirk Graham,33.0,W,"Regina, SK",CA,1993,grahadi01
Detroit Red Wings,Steve Yzerman,27.0,C,"Cranbrook, BC",CA,1993,yzermst01
Edmonton Oilers,Craig MacTavish,34.0,C,"London, ON",CA,1993,mactacr01
Hartford Whalers,Pat Verbeek,28.0,RW,"Sarnia, ON",CA,1993,verbepa01
Los Angeles Kings,Wayne Gretzky,32.0,C,"Brantford, ON",CA,1993,gretzwa01
Los Angeles Kings,Luc Robitaille,26.0,LW,"Montreal, QC",CA,1993,robitlu01
Minnesota North Stars,Mark Tinordi,26.0,D,"Red Deer, AB",CA,1993,tinorma01
Montreal Canadiens,Guy Carbonneau,32.0,C,"Sept-Iles, QC",CA,1993,carbogu01
New Jersey Devils,Scott Stevens,28.0,D,"Kitchener, ON",CA,1993,stevesc01
New York Islanders,Pat Flatley,29.0,RW,"Toronto, ON",CA,1993,flatlpa01
New York Rangers,Mark Messier,32.0,LW/C,"Edmonton, AB",CA,1993,messima01
Ottawa Senators,Laurie Boschman,32.0,C,"Major, SK",CA,1993,boschla01
Philadelphia Flyers,No Captain,,,,,1993,
Pittsburgh Penguins,Mario Lemieux,27.0,C,"Montreal, QC",CA,1993,lemiema01
Quebec Nordiques,Joe Sakic,23.0,C,"Burnaby, BC",CA,1993,sakicjo01
San Jose Sharks,Doug Wilson,35.0,D,"Ottawa, ON",CA,1993,wilsodo01
St. Louis Blues,Brett Hull,28.0,RW,"Belleville, ON",CA,1993,hullbr01
Tampa Bay Lightning,No Captain,,,,,1993,
Toronto Maple Leafs,Wendel Clark,26.0,LW/D,"Kelvington, SK",CA,1993,clarkwe01
Vancouver Canucks,Trevor Linden,22.0,RW,"Medicine Hat, AB",CA,1993,lindetr01
Washington Capitals,Kevin Hatcher,26.0,D,"Detroit, MI",US,1993,hatchke01
Washington Capitals,Rod Langway,35.0,D,Maag,TW,1993,langwro01
Winnipeg Jets,Dean Kennedy,30.0,D,"Redvers, SK",CA,1993,kennede01
Winnipeg Jets,Troy Murray,30.0,C,"Calgary, AB",CA,1993,murratr01
Boston Bruins,Ray Bourque,31.0,D,"Montreal, QC",CA,1992,bourqra01
Buffalo Sabres,Mike Ramsey,31.0,D,"Minneapolis, MN",US,1992,ramsemi01
Calgary Flames,Joe Nieuwendyk,25.0,C,"Oshawa, ON",CA,1992,nieuwjo01
Chicago Blackhawks,Dirk Graham,32.0,W,"Regina, SK",CA,1992,grahadi01
Detroit Red Wings,Steve Yzerman,26.0,C,"Cranbrook, BC",CA,1992,yzermst01
Edmonton Oilers,Kevin Lowe,32.0,D,"Lachute, QC",CA,1992,loweke01
Hartford Whalers,Randy Ladouceur,31.0,D,"Brockville, ON",CA,1992,ladoura01
Los Angeles Kings,Wayne Gretzky,31.0,C,"Brantford, ON",CA,1992,gretzwa01
Minnesota North Stars,Mark Tinordi,25.0,D,"Red Deer, AB",CA,1992,tinorma01
Montreal Canadiens,Guy Carbonneau,31.0,C,"Sept-Iles, QC",CA,1992,carbogu01
New Jersey Devils,Bruce Driver,29.0,D,"Toronto, ON",CA,1992,drivebr01
New York Islanders,Pat Flatley,28.0,RW,"Toronto, ON",CA,1992,flatlpa01
New York Islanders,Brent Sutter,29.0,C,"Viking, AB",CA,1992,suttebr02
New York Rangers,Mark Messier,31.0,LW/C,"Edmonton, AB",CA,1992,messima01
Philadelphia Flyers,Rick Tocchet,27.0,RW,"Scarborough, ON",CA,1992,tocchri01
Pittsburgh Penguins,Mario Lemieux,26.0,C,"Montreal, QC",CA,1992,lemiema01
Quebec Nordiques,Mike Hough,28.0,LW,"Montreal, QC",CA,1992,houghmi01
San Jose Sharks,Doug Wilson,34.0,D,"Ottawa, ON",CA,1992,wilsodo01
St. Louis Blues,Garth Butcher,29.0,D,"Regina, SK",CA,1992,butchga01
Toronto Maple Leafs,Wendel Clark,25.0,LW/D,"Kelvington, SK",CA,1992,clarkwe01
Vancouver Canucks,Trevor Linden,21.0,RW,"Medicine Hat, AB",CA,1992,lindetr01
Washington Capitals,Rod Langway,34.0,D,Maag,TW,1992,langwro01
Winnipeg Jets,Troy Murray,29.0,C,"Calgary, AB",CA,1992,murratr01
Boston Bruins,Ray Bourque,30.0,D,"Montreal, QC",CA,1991,bourqra01
Buffalo Sabres,Mike Foligno,32.0,RW,"Sudbury, ON",CA,1991,foligmi01
Buffalo Sabres,Mike Ramsey,30.0,D,"Minneapolis, MN",US,1991,ramsemi01
Calgary Flames,No Captain,,,,,1991,
Chicago Blackhawks,Dirk Graham,31.0,W,"Regina, SK",CA,1991,grahadi01
Detroit Red Wings,Steve Yzerman,25.0,C,"Cranbrook, BC",CA,1991,yzermst01
Edmonton Oilers,Mark Messier,30.0,LW/C,"Edmonton, AB",CA,1991,messima01
Hartford Whalers,Ron Francis,27.0,C,"Sault Ste. Marie, ON",CA,1991,francro01
Los Angeles Kings,Wayne Gretzky,30.0,C,"Brantford, ON",CA,1991,gretzwa01
Minnesota North Stars,Curt Giles,32.0,D,"The Pas, MB",CA,1991,gilescu01
Montreal Canadiens,Guy Carbonneau,30.0,C,"Sept-Iles, QC",CA,1991,carbogu01
New Jersey Devils,Kirk Muller,24.0,LW,"Kingston, ON",CA,1991,mulleki01
New York Islanders,Brent Sutter,28.0,C,"Viking, AB",CA,1991,suttebr02
New York Rangers,Kelly Kisio,31.0,C,"Peace River, AB",CA,1991,kisioke01
Philadelphia Flyers,Ron Sutter,27.0,C,"Viking, AB",CA,1991,suttero01
Pittsburgh Penguins,Mario Lemieux,25.0,C,"Montreal, QC",CA,1991,lemiema01
Quebec Nordiques,Steven Finn,24.0,D,"Laval, QC",CA,1991,finnst01
Quebec Nordiques,Joe Sakic,21.0,C,"Burnaby, BC",CA,1991,sakicjo01
St. Louis Blues,Scott Stevens,26.0,D,"Kitchener, ON",CA,1991,stevesc01
Toronto Maple Leafs,Rob Ramage,32.0,D,"Byron, ON",CA,1991,ramagro01
Vancouver Canucks,Doug Lidster,30.0,D,"Kamloops, BC",CA,1991,lidstdo01
Vancouver Canucks,Trevor Linden,20.0,RW,"Medicine Hat, AB",CA,1991,lindetr01
Vancouver Canucks,Dan Quinn,25.0,C,"Ottawa, ON",CA,1991,quinnda01
Washington Capitals,Rod Langway,33.0,D,Maag,TW,1991,langwro01
Winnipeg Jets,Randy Carlyle,34.0,D,"Sudbury, ON",CA,1991,carlyra01
Winnipeg Jets,Thomas Steen,30.0,C,Grums,SE,1991,steenth01
Boston Bruins,Ray Bourque,29.0,D,"Montreal, QC",CA,1990,bourqra01
Buffalo Sabres,Mike Foligno,31.0,RW,"Sudbury, ON",CA,1990,foligmi01
Calgary Flames,Brad McCrimmon,30.0,D,"Dodsland, SK",CA,1990,mccribr01
Chicago Blackhawks,Dirk Graham,30.0,W,"Regina, SK",CA,1990,grahadi01
Detroit Red Wings,Steve Yzerman,24.0,C,"Cranbrook, BC",CA,1990,yzermst01
Edmonton Oilers,Mark Messier,29.0,LW/C,"Edmonton, AB",CA,1990,messima01
Hartford Whalers,Ron Francis,26.0,C,"Sault Ste. Marie, ON",CA,1990,francro01
Los Angeles Kings,Wayne Gretzky,29.0,C,"Brantford, ON",CA,1990,gretzwa01
Minnesota North Stars,Curt Giles,31.0,D,"The Pas, MB",CA,1990,gilescu01
Montreal Canadiens,Guy Carbonneau,29.0,C,"Sept-Iles, QC",CA,1990,carbogu01
Montreal Canadiens,Chris Chelios,28.0,D,"Chicago, IL",US,1990,chelich01
New Jersey Devils,Kirk Muller,23.0,LW,"Kingston, ON",CA,1990,mulleki01
New York Islanders,Brent Sutter,27.0,C,"Viking, AB",CA,1990,suttebr02
New York Rangers,Kelly Kisio,30.0,C,"Peace River, AB",CA,1990,kisioke01
Philadelphia Flyers,Dave Poulin,31.0,C,"Timmins, ON",CA,1990,poulida02
Philadelphia Flyers,Ron Sutter,26.0,C,"Viking, AB",CA,1990,suttero01
Pittsburgh Penguins,Mario Lemieux,24.0,C,"Montreal, QC",CA,1990,lemiema01
Quebec Nordiques,Peter Stastny,33.0,C,Bratislava,CS,1990,stastpe01
St. Louis Blues,Rick Meagher,36.0,C,"Belleville, ON",CA,1990,meaghri01
Toronto Maple Leafs,Rob Ramage,31.0,D,"Byron, ON",CA,1990,ramagro01
Vancouver Canucks,Stan Smyl,32.0,RW,"Glendon, AB",CA,1990,smylst01
Washington Capitals,Rod Langway,32.0,D,Maag,TW,1990,langwro01
Winnipeg Jets,Randy Carlyle,33.0,D,"Sudbury, ON",CA,1990,carlyra01
Winnipeg Jets,Dale Hawerchuk,26.0,C,"Toronto, ON",CA,1990,hawerda01
Winnipeg Jets,Thomas Steen,29.0,C,Grums,SE,1990,steenth01
Boston Bruins,Ray Bourque,28.0,D,"Montreal, QC",CA,1989,bourqra01
Buffalo Sabres,Mike Foligno,30.0,RW,"Sudbury, ON",CA,1989,foligmi01
Buffalo Sabres,Lindy Ruff,28.0,D/LW,"Warburg, AB",CA,1989,ruffli01
Calgary Flames,Tim Hunter,28.0,RW,"Calgary, AB",CA,1989,hunteti01
Calgary Flames,Lanny McDonald,35.0,RW,"Hanna, AB",CA,1989,mcdonla01
Calgary Flames,Jim Peplinski,28.0,RW,"Renfrew, ON",CA,1989,pepliji01
Chicago Blackhawks,Dirk Graham,29.0,W,"Regina, SK",CA,1989,grahadi01
Chicago Blackhawks,Denis Savard,27.0,C,"Pointe Gatineau, QC",CA,1989,savarde01
