Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Boston Bruins,Jack Crawford,31.0,D,"Dublin, ON",CA,1948,crawfja01
Chicago Black Hawks,John Mariucci,31.0,D,"Eveleth, MN",US,1948,mariujo01
Detroit Red Wings,Sid Abel,29.0,C/LW,"Melville, SK",CA,1948,abelsi01
Montreal Canadiens,Toe Blake,35.0,LW,"Victoria Mines, ON",CA,1948,blaketo01
Montreal Canadiens,Bill Durnan,32.0,G,"Toronto, ON",CA,1948,durnabi01
New York Rangers,Neil Colville,33.0,C/D,"Edmonton, AB",CA,1948,colvine01
Toronto Maple Leafs,Syl Apps,33.0,C,"Paris, ON",CA,1948,appssy01
Boston Bruins,Jack Crawford,30.0,D,"Dublin, ON",CA,1947,crawfja01
Boston Bruins,Dit Clapper,39.0,RW/D,"Newmarket, ON",CA,1947,clappdi01
Chicago Black Hawks,Red Hamill,30.0,LW,"Toronto, ON",CA,1947,hamilre02
Detroit Red Wings,Sid Abel,28.0,C/LW,"Melville, SK",CA,1947,abelsi01
Montreal Canadiens,Toe Blake,34.0,LW,"Victoria Mines, ON",CA,1947,blaketo01
New York Rangers,Neil Colville,32.0,C/D,"Edmonton, AB",CA,1947,colvine01
Toronto Maple Leafs,Syl Apps,32.0,C,"Paris, ON",CA,1947,appssy01
